id,tag,n_tokens
g233,indic_translation_tamil_en,166
g234,indic_translation_telugu_en,146
g235,indic_translation_bengali_en,147
g236,linguistic_diagnostics,55
g237,linguistic_diagnostics,54
g238,linguistic_diagnostics,64
g239,linguistic_diagnostics,58
g240,linguistic_diagnostics,76
g241,linguistic_diagnostics,57
g242,linguistic_diagnostics,55
g243,linguistic_diagnostics,54
g244,linguistic_diagnostics,64
g245,linguistic_diagnostics,58
g246,linguistic_diagnostics,76
g247,linguistic_acceptability,38
g248,linguistic_acceptability,28
g249,linguistic_acceptability,33
g250,linguistic_acceptability,29
g251,linguistic_acceptability,33
g252,linguistic_acceptability,30
g253,linguistic_acceptability,34
g254,linguistic_acceptability,33
g255,linguistic_acceptability,34
g256,linguistic_acceptability,33
