token_id,token_raw,token_decoded,categories,notes
86647,.âĢĭ,.​,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
88806,ï¿½r,�r,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
89190,âĢŃ,‭,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
90817,ĠâĢª, ‪,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
96843,âĢĭâĢĭâĢĭâĢĭ,​​​​,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
98892,ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,��������,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
99490,ïĥĺ,,private_use,Unicode Private Use Area character (U+E000–U+F8FF or U+F0000+). No standard meaning; renders as a box or glyph in most fonts.
101501,ï¿½o,�o,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
101607,Ġ'&#, '&#,html_artifact,"Unescaped HTML entity (&#…, &amp;, &lt;, etc.). Indicates raw HTML was not stripped from training data."
102216,âģł,⁠,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
106278,âĤ¬ï¿½,€�,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
107765,âĢĭ.,​.,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
110669,âĢ®,‮,zero_width_noise,"Noise-class invisible character: ZWSP (U+200B), bidi control (U+202A–202E), BOM (U+FEFF), or Word Joiner (U+2060). No linguistic function in clean text; potential prompt-injection risk."
113213,Ġï¿½ï¿½, ��,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
113903,ï¿½m,�m,broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
114227,ï¿½Ċ,"�
",broken_utf8,Contains genuine U+FFFD replacement character baked into the token. Real corpus corruption (not a byte-fragment token — those are excluded).
